Mode1,Mode2,Mode3,Mode4,Mode5,Mode6,Mode7,Mode8,Mode9,Mode10,Mode11,Mode12,Mode13,Mode14,Mode15,Mode16,Mode17,Mode18
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.126995515483871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.253991030967742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.380986546451613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.507982061935484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.634977577419356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.761973092903226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.8889686083871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.01596412387097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.14295963935484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31.269955154838712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.39695067032258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37.52394618580645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.65094170129032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43.7779372167742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46.90493273225807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50.03192824774194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53.15892376322581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56.28591927870968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59.412914794193554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62.539910309677424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65.6669058251613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68.79390134064516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71.92089685612903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75.0478923716129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78.17488788709677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81.30188340258064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84.42887891806453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87.5558744335484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90.68286994903227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93.80986546451614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96.93686098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
